Date,Length-Mode,# of MSS in Agreement,Category,Correct
66.66666666666669,0,5,1,1001,1
66.66666666666669,0,5,1,1001,1
66.66666666666669,-1,2,1,1001,0
66.66666666666669,3,2,1,1001,0
66.66666666666669,0,4,1,1001,1
66.66666666666669,2,1,1,1001,0
66.66666666666669,0,3,1,1001,1
66.66666666666669,-1,1,1,1001,0
66.66666666666669,1,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,0,5,1,1001,1
66.66666666666669,-1,1,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,-1,1,1,1001,0
66.66666666666669,-11,1,1,1001,0
66.66666666666669,0,4,1,1001,1
66.66666666666669,-8,1,1,1001,0
66.66666666666669,-3,1,1,1001,0
66.66666666666669,-8,1,1,1001,0
66.66666666666669,-14,1,1,1001,0
66.66666666666669,-5,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,0,3,1,1001,1
66.66666666666669,0,5,1,1001,1
66.66666666666669,-16,1,1,1001,0
66.66666666666669,2,1,1,1001,0
66.66666666666669,-4,1,1,1001,0
66.66666666666669,7,1,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,0,5,1,1001,1
66.66666666666669,0,4,1,1001,1
66.66666666666669,-4,1,1,1001,0
66.66666666666669,3,1,1,1001,0
66.66666666666669,4,2,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,0,5,1,1001,1
66.66666666666669,-3,1,1,1001,0
66.66666666666669,-10,1,1,1001,0
66.66666666666669,-2,1,1,1001,0
66.66666666666669,-3,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,0,2,1,1001,1
66.66666666666669,-3,1,1,1001,0
66.66666666666669,-4,1,1,1001,0
66.66666666666669,-1,1,1,1001,0
66.66666666666669,-4,1,1,1001,0
66.66666666666669,4,1,1,1001,0
66.66666666666669,0,1,1,1001,0
66.66666666666669,6,1,1,1001,0
66.66666666666669,2,1,1,1001,0
66.66666666666669,1,1,1,1001,0
-23.333333333333314,-3,1,1,5,0
-23.333333333333314,0,5,1,5,1
-23.333333333333314,-12,1,1,5,0
-23.333333333333314,0,2,1,5,1
-23.333333333333314,-3,1,1,5,0
-23.333333333333314,0,3,1,5,1
-23.333333333333314,0,4,1,5,1
-23.333333333333314,0,5,1,5,1
-23.333333333333314,0,4,1,5,1
-23.333333333333314,0,3,1,5,1
-23.333333333333314,0,3,1,5,1
-23.333333333333314,4,2,1,5,0
-23.333333333333314,-6,1,1,5,0
